#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0030216	keratinocyte differentiation	20	267	2.18e-20	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000357712,ENSP00000357791,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,S100A7
GO:0019730	antimicrobial humoral response	17	143	3.04e-20	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000357712,ENSP00000357726,ENSP00000362108,ENSP00000369317,ENSP00000379110,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CCL13,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,KRT6A,LCN2,LTF,LYZ,S100A12,S100A7,SLPI
GO:0031424	keratinization	19	225	3.04e-20	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000357791,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80
GO:0016192	vesicle-mediated transport	34	1699	5.14e-19	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000364210,ENSP00000373487,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCL8,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT18,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLPI,TCN1,TIMP2
GO:0008544	epidermis development	21	403	1.53e-18	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000297258,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000357712,ENSP00000357791,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	FABP5,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,S100A7
GO:0006959	humoral immune response	18	252	6.01e-18	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000252244,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000357712,ENSP00000357726,ENSP00000362108,ENSP00000369317,ENSP00000379110,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CCL13,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,KRT1,KRT6A,LCN2,LTF,LYZ,S100A12,S100A7,SLPI
GO:0006952	defense response	29	1234	1.96e-17	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000252244,ENSP00000255040,ENSP00000255409,ENSP00000259396,ENSP00000261267,ENSP00000262865,ENSP00000264657,ENSP00000296435,ENSP00000297435,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000362108,ENSP00000362795,ENSP00000364210,ENSP00000369317,ENSP00000379110,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APCS,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FPR1,FPR2,HP,KRT1,KRT16,KRT6A,LCN2,LTF,LYZ,ORM1,S100A12,S100A7,SAA1,SLPI,STAT3
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	13	107	1.95e-15	ENSP00000225844,ENSP00000231751,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000357712,ENSP00000357726,ENSP00000369317,ENSP00000379110,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CCL13,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,KRT6A,LTF,S100A12,S100A7
GO:0031640	killing of cells of other organism	12	89	1.09e-14	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000261267,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000357726,ENSP00000369317,ENSP00000379110,ENSP00000466090	CAMP,CCL13,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,KRT6A,LTF,LYZ,S100A12
GO:0006954	inflammatory response	19	482	1.54e-14	ENSP00000225844,ENSP00000255040,ENSP00000255409,ENSP00000259396,ENSP00000261267,ENSP00000264657,ENSP00000296435,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000348170,ENSP00000357726,ENSP00000362795,ENSP00000364210,ENSP00000379110,ENSP00000384906,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APCS,CAMP,CCL13,CHI3L1,CXCL1,CXCL10,CXCL8,CXCR3,ELANE,FPR1,FPR2,HP,KRT16,LYZ,ORM1,S100A12,SAA1,STAT3
GO:0035821	modification of morphology or physiology of other organism	14	182	3.55e-14	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000255040,ENSP00000261267,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000357726,ENSP00000369317,ENSP00000379110,ENSP00000466090	APCS,CAMP,CCL13,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,KRT6A,LTF,LYZ,S100A12,SLPI
GO:0044419	interspecies interaction between organisms	21	724	1.06e-13	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000255040,ENSP00000261267,ENSP00000264657,ENSP00000283752,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000329243,ENSP00000342082,ENSP00000355124,ENSP00000357726,ENSP00000369317,ENSP00000373487,ENSP00000379110,ENSP00000449404,ENSP00000452780,ENSP00000466090	APCS,B2M,CAMP,CCL13,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,KRT18,KRT19,KRT6A,KRT7,KRT8,LTF,LYZ,S100A12,SERPINB3,SLPI,STAT3
GO:0009605	response to external stimulus	29	1857	6.79e-13	ENSP00000167588,ENSP00000216336,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236850,ENSP00000255409,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000297991,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000362108,ENSP00000362795,ENSP00000369317,ENSP00000379110,ENSP00000384906,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	APOA1,APOB,AQP3,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FPR1,FPR2,HP,KRT20,KRT6A,KRT8,LCN2,LTF,LYZ,RETN,S100A12,S100A7,SAA1,SLPI
GO:0051707	response to other organism	20	835	1.72e-11	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000362108,ENSP00000369317,ENSP00000379110,ENSP00000449404,ENSP00000452780,ENSP00000466090	APOB,B2M,BPI,CAMP,CCL13,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,HP,KRT6A,KRT8,LCN2,LTF,LYZ,S100A12,S100A7,SLPI
GO:0009617	response to bacterium	17	555	3.15e-11	ENSP00000216336,ENSP00000231751,ENSP00000233242,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000369317,ENSP00000379110,ENSP00000452780,ENSP00000466090	APOB,B2M,BPI,CAMP,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,HP,KRT6A,LTF,LYZ,S100A12,S100A7,SLPI
GO:0042742	defense response to bacterium	13	250	3.93e-11	ENSP00000216336,ENSP00000231751,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000369317,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CTSG,DEFA4,ELANE,HP,KRT6A,LTF,LYZ,S100A12,S100A7,SLPI
GO:0012501	programmed cell death	21	1042	8.68e-11	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000362108,ENSP00000362795,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	CHI3L1,CXCR3,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2
GO:0051179	localization	42	5233	1.48e-10	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357697,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362795,ENSP00000364210,ENSP00000373487,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,AQP3,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT16,KRT18,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A2,S100A7,S100P,SAA1,SERPINB3,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0019731	antibacterial humoral response	8	47	1.87e-10	ENSP00000216336,ENSP00000231751,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000342082,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CTSG,DEFA4,ELANE,LTF,SLPI
GO:0006810	transport	37	4130	4.75e-10	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000364210,ENSP00000373487,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,AQP3,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCL8,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT18,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0006950	response to stress	33	3267	6.51e-10	ENSP00000167588,ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000236850,ENSP00000252244,ENSP00000255040,ENSP00000255409,ENSP00000259396,ENSP00000261267,ENSP00000262865,ENSP00000264657,ENSP00000296435,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000362108,ENSP00000362795,ENSP00000364210,ENSP00000369317,ENSP00000379110,ENSP00000384906,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APCS,APOA1,AQP3,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FPR1,FPR2,HP,KRT1,KRT16,KRT20,KRT6A,KRT8,LCN2,LTF,LYZ,ORM1,S100A12,S100A7,SAA1,SLPI,STAT3
GO:0050829	defense response to Gram-negative bacterium	9	95	9.25e-10	ENSP00000216336,ENSP00000231751,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000357712,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CTSG,DEFA4,ELANE,LTF,LYZ,S100A7
GO:0098542	defense response to other organism	14	438	2.08e-09	ENSP00000216336,ENSP00000231751,ENSP00000261267,ENSP00000262865,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000369317,ENSP00000452780,ENSP00000466090	B2M,BPI,CAMP,CTSG,CXCL10,DEFA4,ELANE,HP,KRT6A,LTF,LYZ,S100A12,S100A7,SLPI
GO:0048878	chemical homeostasis	19	995	2.62e-09	ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236850,ENSP00000264657,ENSP00000297258,ENSP00000297991,ENSP00000301653,ENSP00000305651,ENSP00000357791,ENSP00000362108,ENSP00000362795,ENSP00000364210,ENSP00000380437,ENSP00000384906,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,AQP3,B2M,CCL13,CXCL10,CXCR3,ELANE,FABP5,FPR1,FPR2,HRNR,KRT16,LCN2,LTF,SAA1,SLC22A17,STAT3
GO:0009888	tissue development	23	1626	5.47e-09	ENSP00000167586,ENSP00000167588,ENSP00000236826,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000293745,ENSP00000297258,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000357712,ENSP00000357791,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404	CHI3L1,FABP5,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,MMP8,S100A7
GO:0050896	response to stimulus	48	7824	9.35e-09	ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252244,ENSP00000255040,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000308452,ENSP00000342082,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362795,ENSP00000364210,ENSP00000369317,ENSP00000373487,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APCS,APOA1,APOB,AQP3,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT16,KRT17,KRT18,KRT19,KRT20,KRT6A,KRT8,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SAA1,SERPINB3,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0060326	cell chemotaxis	10	183	1.00e-08	ENSP00000225844,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000357726,ENSP00000362795,ENSP00000379110,ENSP00000384906,ENSP00000468897,ENSP00000471493	CCL13,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,FPR1,FPR2,S100A12,SAA1
GO:0051704	multi-organism process	26	2222	1.24e-08	ENSP00000216336,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000255040,ENSP00000261267,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296435,ENSP00000297435,ENSP00000305651,ENSP00000306512,ENSP00000329243,ENSP00000342082,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000362108,ENSP00000369317,ENSP00000373487,ENSP00000379110,ENSP00000449404,ENSP00000452780,ENSP00000466090	APCS,APOB,B2M,BPI,CAMP,CCL13,CTSG,CXCL1,CXCL10,CXCL8,DEFA4,ELANE,HP,KRT18,KRT19,KRT6A,KRT7,KRT8,LCN2,LTF,LYZ,S100A12,S100A7,SERPINB3,SLPI,STAT3
