#term ID	term description	observed gene count	background gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0070820	tertiary granule	13	164	1.00e-13	ENSP00000219022,ENSP00000231751,ENSP00000236826,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000296435,ENSP00000348170,ENSP00000379110,ENSP00000452780,ENSP00000468897,ENSP00000471493	B2M,CAMP,CXCL1,FPR1,FPR2,HP,LTF,LYZ,MMP8,OLFM4,ORM1,TCN1,TIMP2
GO:0099513	polymeric cytoskeletal fiber	19	645	6.89e-13	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000384906,ENSP00000448220,ENSP00000449404	KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,SAA1
GO:0042582	azurophil granule	11	155	3.25e-11	ENSP00000216336,ENSP00000221515,ENSP00000261267,ENSP00000262865,ENSP00000283752,ENSP00000297258,ENSP00000297435,ENSP00000357712,ENSP00000357791,ENSP00000466090,ENSP00000471493	BPI,CTSG,DEFA4,ELANE,FABP5,FPR1,HRNR,LYZ,RETN,S100A7,SERPINB3
GO:0035578	azurophil granule lumen	9	92	2.02e-10	ENSP00000216336,ENSP00000221515,ENSP00000261267,ENSP00000262865,ENSP00000283752,ENSP00000297258,ENSP00000357712,ENSP00000357791,ENSP00000466090	BPI,CTSG,ELANE,FABP5,HRNR,LYZ,RETN,S100A7,SERPINB3
GO:0044446	intracellular organelle part	52	8882	3.34e-10	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000293745,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000342082,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000364210,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000448220,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0005775	vacuolar lumen	10	172	1.60e-09	ENSP00000216336,ENSP00000221515,ENSP00000233242,ENSP00000261267,ENSP00000262865,ENSP00000283752,ENSP00000297258,ENSP00000357712,ENSP00000357791,ENSP00000466090	APOB,BPI,CTSG,ELANE,FABP5,HRNR,LYZ,RETN,S100A7,SERPINB3
GO:0044444	cytoplasmic part	51	9377	2.22e-08	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000293745,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000342082,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000448220,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	APOA1,APOB,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0071682	endocytic vesicle lumen	5	19	7.41e-08	ENSP00000231751,ENSP00000233242,ENSP00000236850,ENSP00000348170,ENSP00000384906	APOA1,APOB,HP,LTF,SAA1
GO:0044437	vacuolar part	12	474	1.73e-07	ENSP00000216336,ENSP00000221515,ENSP00000233242,ENSP00000261267,ENSP00000262865,ENSP00000283752,ENSP00000297258,ENSP00000357712,ENSP00000357791,ENSP00000380437,ENSP00000466090,ENSP00000471493	APOB,BPI,CTSG,ELANE,FABP5,FPR1,HRNR,LYZ,RETN,S100A7,SERPINB3,SLC22A17
GO:0005737	cytoplasm	54	11238	2.73e-07	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000293745,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000342082,ENSP00000343445,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000362795,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000448220,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	APOA1,APOB,AQP3,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SERPINB4,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0005773	vacuole	13	682	9.83e-07	ENSP00000216336,ENSP00000221515,ENSP00000233242,ENSP00000261267,ENSP00000262865,ENSP00000283752,ENSP00000297258,ENSP00000297435,ENSP00000357712,ENSP00000357791,ENSP00000380437,ENSP00000466090,ENSP00000471493	APOB,BPI,CTSG,DEFA4,ELANE,FABP5,FPR1,HRNR,LYZ,RETN,S100A7,SERPINB3,SLC22A17
GO:0005764	lysosome	12	582	1.37e-06	ENSP00000216336,ENSP00000221515,ENSP00000233242,ENSP00000261267,ENSP00000262865,ENSP00000283752,ENSP00000297258,ENSP00000297435,ENSP00000357712,ENSP00000357791,ENSP00000466090,ENSP00000471493	APOB,BPI,CTSG,DEFA4,ELANE,FABP5,FPR1,HRNR,LYZ,RETN,S100A7,SERPINB3
GO:0070013	intracellular organelle lumen	34	5162	4.80e-06	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000364210,ENSP00000373487,ENSP00000379110,ENSP00000384906,ENSP00000449404,ENSP00000452780,ENSP00000466090	AGER,APOA1,APOB,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,HP,HRNR,KRT1,KRT18,KRT8,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SLPI,STAT3,TCN1,TIMP2
GO:0005856	cytoskeleton	20	2068	1.21e-05	ENSP00000167586,ENSP00000167588,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000357726,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000384906,ENSP00000448220,ENSP00000449404	KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,S100A12,SAA1
GO:0012505	endomembrane system	30	4347	1.36e-05	ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000252244,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000283752,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000342082,ENSP00000348170,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000379110,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	APOA1,APOB,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,SERPINB3,SLPI,TCN1,TIMP2
GO:0043229	intracellular organelle	53	12193	4.10e-05	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000293745,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000342082,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000364210,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000448220,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,AQP3,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0034358	plasma lipoprotein particle	4	40	5.58e-05	ENSP00000233242,ENSP00000236850,ENSP00000348170,ENSP00000384906	APOA1,APOB,HP,SAA1
GO:0009986	cell surface	10	690	0.00025	ENSP00000216336,ENSP00000231751,ENSP00000236850,ENSP00000262768,ENSP00000305651,ENSP00000362795,ENSP00000364210,ENSP00000448220,ENSP00000452780,ENSP00000466090	AGER,APOA1,B2M,CTSG,CXCL10,CXCR3,ELANE,KRT4,LTF,TIMP2
GO:0005622	intracellular	56	14286	0.00037	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000293745,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000306512,ENSP00000308452,ENSP00000329243,ENSP00000342082,ENSP00000343445,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000362795,ENSP00000364210,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000448220,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,AQP3,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCL8,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SERPINB4,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0034364	high-density lipoprotein particle	3	28	0.00058	ENSP00000236850,ENSP00000348170,ENSP00000384906	APOA1,HP,SAA1
GO:0044424	intracellular part	55	13996	0.00065	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000293745,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000342082,ENSP00000343445,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000362795,ENSP00000364210,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000448220,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,AQP3,B2M,BPI,CAMP,CHI3L1,CTSG,CXCL1,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SERPINB4,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0030139	endocytic vesicle	6	275	0.0010	ENSP00000231751,ENSP00000233242,ENSP00000236850,ENSP00000348170,ENSP00000384906,ENSP00000452780	APOA1,APOB,B2M,HP,LTF,SAA1
GO:0034363	intermediate-density lipoprotein particle	2	6	0.0012	ENSP00000233242,ENSP00000236850	APOA1,APOB
GO:0043232	intracellular non-membrane-bounded organelle	24	4005	0.0021	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000262865,ENSP00000264657,ENSP00000293745,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000357726,ENSP00000364210,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000384906,ENSP00000448220,ENSP00000449404	AGER,BPI,CTSG,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,S100A12,SAA1,STAT3
GO:0034366	spherical high-density lipoprotein particle	2	9	0.0022	ENSP00000236850,ENSP00000348170	APOA1,HP
GO:0042627	chylomicron	2	13	0.0041	ENSP00000233242,ENSP00000236850	APOA1,APOB
GO:0034362	low-density lipoprotein particle	2	14	0.0046	ENSP00000233242,ENSP00000236850	APOA1,APOB
GO:0005623	cell	58	16271	0.0058	ENSP00000167586,ENSP00000167588,ENSP00000216336,ENSP00000219022,ENSP00000221515,ENSP00000225844,ENSP00000231751,ENSP00000233242,ENSP00000236826,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000255409,ENSP00000257264,ENSP00000259396,ENSP00000261267,ENSP00000262768,ENSP00000262865,ENSP00000264657,ENSP00000283752,ENSP00000293745,ENSP00000296370,ENSP00000296435,ENSP00000297258,ENSP00000297435,ENSP00000297991,ENSP00000301653,ENSP00000305651,ENSP00000306512,ENSP00000308452,ENSP00000329243,ENSP00000342082,ENSP00000343445,ENSP00000348170,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000357791,ENSP00000362108,ENSP00000362574,ENSP00000362795,ENSP00000364210,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000379110,ENSP00000380437,ENSP00000384906,ENSP00000448220,ENSP00000449404,ENSP00000452780,ENSP00000466090,ENSP00000468897,ENSP00000471493	AGER,APOA1,APOB,AQP3,B2M,BPI,CAMP,CCL13,CHI3L1,CTSG,CXCL1,CXCL10,CXCL8,CXCR3,DEFA4,ELANE,FABP5,FPR1,FPR2,HP,HRNR,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,LCN2,LTF,LYZ,MMP8,OLFM4,ORM1,RETN,S100A12,S100A7,S100P,S100PBP,SAA1,SERPINB3,SERPINB4,SLC22A17,SLPI,STAT3,TCN1,TIMP2
GO:0005829	cytosol	26	4958	0.0077	ENSP00000167586,ENSP00000167588,ENSP00000233242,ENSP00000236850,ENSP00000246635,ENSP00000252242,ENSP00000252244,ENSP00000252245,ENSP00000252250,ENSP00000252252,ENSP00000264657,ENSP00000293745,ENSP00000297258,ENSP00000301653,ENSP00000308452,ENSP00000329243,ENSP00000355124,ENSP00000357712,ENSP00000357726,ENSP00000362574,ENSP00000369317,ENSP00000373487,ENSP00000378292,ENSP00000448220,ENSP00000449404,ENSP00000452780	APOA1,APOB,B2M,FABP5,KRT1,KRT13,KRT14,KRT16,KRT17,KRT18,KRT19,KRT20,KRT4,KRT5,KRT6A,KRT6B,KRT6C,KRT7,KRT72,KRT75,KRT8,KRT80,S100A12,S100A7,S100PBP,STAT3
GO:0016327	apicolateral plasma membrane	2	19	0.0077	ENSP00000355124,ENSP00000449404	KRT19,KRT8
GO:0043034	costamere	2	19	0.0077	ENSP00000355124,ENSP00000449404	KRT19,KRT8
GO:0034361	very-low-density lipoprotein particle	2	20	0.0081	ENSP00000233242,ENSP00000236850	APOA1,APOB
